Tenant Id,Tenant Name,Create Role,Create User,Create Domain,List Domain,Change Domain,Compliance Status
c21c9bd33ae640cd91fc7a9f1d7dcfb6,PingFed NextGen,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
c260b017e3d24b3a939884ef545930db,mgstg-npd-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
c28a707172c845f0b5f5b8e2c3f6b3a7,opsctr-prd-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
c33bb09ff2434ab0b873d9824359d3a7,io,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
c3c7d2ec2187475f9cbde80fc92b3da2,tagstg-npd-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
c4a0de793b4f4e1ea16b110bc0f8abbd,1be9223c4ad4485a9255fddd2487e4a4-dd40499c-7374-487c-be6d-5477feb,,,,,,
c4ea34df765d4c4ea44cde445b022bcf,Anitha-internal-fip-net,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
c5d0641ce9a34ed3827c72ec5eccfeae,Test-deepapaw,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
c67c004237a144ad82e3b45c51b44faf,CCWPOC-NPD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
c752241e2c4d4f8e9929c0b491fe3d72,install base insight,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
c7c57be790a64fd691a451cd1c66ec37,EPSDEV-NPD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
c8e711ec08454bcfa1f05e1d01e6b91e,CD-Services-STAGE,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
c92e597e1f1143d8aeac38cffe6b9eca,poc_service,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
c940f25ccd904ea79732a2da04962cbe,OPL-Stage,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
c9c63b2ca4f641b9ac21d0cdd2f011ba,XMLDEV-NPD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
cab99f68b26e4d538be0ebf89836b4a0,SSO-Devops,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
cb1091fcef1c4ecc997e028841ba2451,tmx-cluster-dev,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
cc9e112c5fca4233acb11eea8a7f87eb,CAE-PROD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
cca2c304398345e589c17f9dab8c92ac,eng-build-cloud-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
cd09271ceb8b4581ad7e645d790a0b48,platform3-demo-app,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
